profile,repeat,run_id,policy,get_p99_ms,put_p99_ms,repl_done,total_errors
none,1,20260607T143011Z-gke-formal-none-r1,baseline,36.0,37.4,0,0
none,1,20260607T143011Z-gke-formal-none-r1,A,113.6,38.1,41,0
none,1,20260607T143011Z-gke-formal-none-r1,B,53.3,39.1,39,0
none,1,20260607T143011Z-gke-formal-none-r1,C,231.5,52.7,34,0
none,2,20260607T150833Z-gke-formal-none-r2,baseline,40.4,35.9,0,0
none,2,20260607T150833Z-gke-formal-none-r2,A,50.1,37.4,41,0
none,2,20260607T150833Z-gke-formal-none-r2,B,50.3,36.1,40,0
none,2,20260607T150833Z-gke-formal-none-r2,C,56.0,40.5,36,0
none,3,20260607T154500Z-gke-formal-none-r3,baseline,35.9,35.4,0,0
none,3,20260607T154500Z-gke-formal-none-r3,A,51.5,33.1,39,0
none,3,20260607T154500Z-gke-formal-none-r3,B,74.4,36.2,39,0
none,3,20260607T154500Z-gke-formal-none-r3,C,391.3,41.9,31,0
cpu,1,20260607T190811Z-gke-formal-cpu-r1,baseline,43.2,38.1,0,0
cpu,1,20260607T190811Z-gke-formal-cpu-r1,A,48.5,40.2,66,0
cpu,1,20260607T190811Z-gke-formal-cpu-r1,B,54.5,40.2,66,0
cpu,1,20260607T190811Z-gke-formal-cpu-r1,C,345.4,37.5,61,0
cpu,2,20260607T194711Z-gke-formal-cpu-r2,baseline,42.8,41.8,0,0
cpu,2,20260607T194711Z-gke-formal-cpu-r2,A,429.3,39.9,66,0
cpu,2,20260607T194711Z-gke-formal-cpu-r2,B,229.5,42.6,67,0
cpu,2,20260607T194711Z-gke-formal-cpu-r2,C,468.4,37.2,60,0
cpu,3,20260607T202559Z-gke-formal-cpu-r3,baseline,37.0,35.4,0,0
cpu,3,20260607T202559Z-gke-formal-cpu-r3,A,57.0,38.8,64,0
cpu,3,20260607T202559Z-gke-formal-cpu-r3,B,55.6,40.6,66,0
cpu,3,20260607T202559Z-gke-formal-cpu-r3,C,113.1,40.1,59,0
io,1,20260606T153612Z-gke-multinode-io-r1,baseline,44.7,42.8,0,0
io,1,20260606T153612Z-gke-multinode-io-r1,A,75.0,55.9,66,0
io,1,20260606T153612Z-gke-multinode-io-r1,B,79.0,64.7,66,0
io,1,20260606T153612Z-gke-multinode-io-r1,C,55.6,52.1,16,0
io,2,20260606T161832Z-gke-multinode-io-r2,baseline,40.6,36.9,0,0
io,2,20260606T161832Z-gke-multinode-io-r2,A,331.6,51.3,66,0
io,2,20260606T161832Z-gke-multinode-io-r2,B,558.8,53.6,65,0
io,2,20260606T161832Z-gke-multinode-io-r2,C,85.2,59.6,16,0
io,3,20260606T170033Z-gke-multinode-io-r3,baseline,43.1,43.6,0,0
io,3,20260606T170033Z-gke-multinode-io-r3,A,97.0,52.3,67,0
io,3,20260606T170033Z-gke-multinode-io-r3,B,386.2,43.9,67,0
io,3,20260606T170033Z-gke-multinode-io-r3,C,507.2,38.6,19,0
